position (mm),PC1
143.01,-0.990934761
143.21,-2.421549766
143.41,-3.072397846
143.61,-2.96482962
143.81,-2.095402947
144.01,-1.040999224
144.21,-1.626265457
144.41,-2.888600517
144.61,-2.06101004
144.81,-1.230064556
145.01,-1.224113348
145.21,-0.817954852
145.41,-0.376441739
145.61,-0.237616009
145.81,-0.94920153
146.01,-0.366145446
146.21,0.245713836
146.41,0.588888389
146.61,1.696518136
146.81,1.334788361
147.01,1.249001701
147.21,1.407331787
147.41,1.723961706
147.61,1.672792109
147.81,1.829395608
148.01,2.141581065
148.21,1.638629973
148.41,1.671278815
148.61,1.234653601
148.81,0.903550457
149.01,0.850691437
149.21,0.499050616
149.41,-0.150901392
149.61,-0.179335582
149.81,-0.468827591
150.01,-0.518520065
150.21,-0.81499676
150.41,0.463251882
150.61,1.43564215
150.81,1.604053874
151.01,1.822169683
151.21,2.651137725
151.41,3.63132576
151.61,4.84920232
151.81,5.346368978
152.01,4.782223302
152.21,4.004478896
152.41,2.580053181
152.61,1.084085757
152.81,-0.49623022
153.01,-1.64067969
153.21,-2.665031084
153.41,-2.267349419
153.61,-1.417753818
153.81,-0.049709966
154.01,1.278650591
154.21,2.145997709
154.41,2.412644828
154.61,2.453867122
154.81,2.530934599
155.01,3.303396654
155.21,2.883093768
155.41,1.556521945
155.61,1.537613939
155.81,1.225807369
156.01,0.950679106
156.21,1.361953243
156.41,1.151449435
156.61,0.388936977
156.81,-1.411468151
157.01,-1.965756092
157.21,-1.611945822
157.41,-2.236217998
157.61,-1.586768806
157.81,0.500029856
158.01,2.179966331
158.21,1.455352958
158.41,-0.511334837
158.61,-3.313344276
158.81,-2.597909227
159.01,0.107904666
159.21,1.866108335
159.41,1.976995002
159.61,1.706145177
159.81,1.454706959
160.01,1.149451287
160.21,1.043682338
160.41,0.614947488
160.61,0.95511426
160.81,0.598849526
161.01,-0.001344831
161.21,-0.335987577
161.41,-2.424501738
161.61,-2.773956797
161.81,-1.213008072
162.01,0.501076754
162.21,0.864595728
162.41,1.062572491
162.61,1.150224621
162.81,1.259620289
163.01,1.230106768
163.21,1.045835995
163.41,0.918233602
163.61,0.659354469
163.81,0.929513065
164.01,1.424690836
164.21,1.611758583
164.41,1.462301856
164.61,1.48467614
164.81,1.508954171
165.01,0.194693975
165.21,-1.239603197
165.41,-2.32957985
165.61,-2.432845283
165.81,-1.552977321
166.01,-0.833832921
166.21,-0.030519455
166.41,0.775783934
166.61,1.019005987
166.81,1.279914295
167.01,1.821318974
167.21,1.5775773
167.41,1.670015015
167.61,1.611712483
167.81,1.703784813
168.01,1.980898838
168.21,1.840323446
168.41,1.89536732
168.61,1.698412871
168.81,1.87935273
169.01,2.590918203
169.21,2.747992629
169.41,2.944105519
169.61,2.699573735
169.81,1.723553871
170.01,0.326960451
170.21,-2.076823249
170.41,-2.773538184
170.61,-2.967184896
170.81,-2.315276196
171.01,-0.618218708
171.21,1.602827729
171.41,3.513314603
171.61,4.008758791
171.81,4.077384799
172.01,4.369344366
172.21,4.681990867
172.41,4.493004808
172.61,4.979492946
172.81,4.760063202
173.01,4.84597021
173.21,4.475938295
173.41,4.406558918
173.61,4.358118486
173.81,3.636144331
174.01,3.615009852
174.21,3.288877303
174.41,3.11597342
174.61,2.58561265
174.81,2.387554869
175.01,2.342213208
175.21,1.872996186
175.41,1.52557455
175.61,1.526423332
175.81,1.162633245
